Date,Close,High,Low,Open,Volume,Ticker
6/3/24,193.1268005,194.0823385,191.623835,192.0020558,50080500,AAPL
6/4/24,193.445313,194.4107984,192.1314498,193.7339559,47471400,AAPL
6/5/24,194.9582367,195.9834409,193.9628916,194.4904233,54156800,AAPL
6/6/24,193.5747223,195.5853238,193.2661677,194.7790966,41181800,AAPL
6/7/24,195.9734955,196.0232658,193.2362965,193.743917,53103900,AAPL
6/10/24,192.2210236,196.3815736,191.2555377,195.9834265,97262100,AAPL
6/11/24,206.18573,206.1956932,192.7286753,192.7485712,172373300,AAPL
6/12/24,212.0782013,219.175002,205.9369083,206.4047217,198134300,AAPL
6/13/24,213.2427521,215.741063,210.6150415,213.7404247,97862700,AAPL
6/14/24,211.5008698,214.1683871,210.3164067,212.8545396,70122700,AAPL
6/17/24,215.6614227,217.9308084,211.7298126,212.3767808,93728300,AAPL
6/18/24,213.29248,217.6122895,212.008492,216.5771221,79943300,AAPL
6/20/24,208.703949,213.2427353,207.8778259,212.9341656,86172500,AAPL
6/21/24,206.52417,210.9036825,206.1459339,209.4106648,246421400,AAPL
6/24/24,207.1711273,211.7098985,205.6283394,206.7530842,80727000,AAPL
6/25/24,208.0968018,210.3960464,207.6389363,208.176416,56713900,AAPL
6/26/24,212.2573395,213.8598457,209.6594882,210.5154856,66213200,AAPL
6/27/24,213.1034088,214.7357743,211.3615548,213.6906588,49772700,AAPL
6/28/24,209.6395721,215.0642149,209.3210696,214.7656083,82542700,AAPL
7/1/24,215.7410431,216.4974999,210.933525,211.1027314,60402900,AAPL
7/2/24,219.2446747,219.3541633,214.0987422,215.1438424,58046200,AAPL
7/3/24,220.5187225,220.5187225,218.0104485,218.9759345,37369800,AAPL
7/5/24,225.2863922,225.3958808,220.618222,220.618222,60412400,AAPL
7/8/24,226.759521,226.7893806,222.2107872,226.0329086,59085900,AAPL
7/9/24,227.6154938,228.3321434,225.3162492,226.868985,48076100,AAPL
7/10/24,231.895508,231.9950484,228.1828747,228.232645,62627700,AAPL
7/11/24,226.5106812,231.3082364,224.719057,230.3128914,64710600,AAPL
7/12/24,229.4668579,231.5570887,227.6155154,227.8544037,53046500,AAPL
7/15/24,233.3088837,236.1257121,232.004984,235.3792033,62631300,AAPL
7/16/24,233.7269287,235.170176,231.2485141,233.9060835,43234300,AAPL
7/17/24,227.8145905,230.3825826,225.585012,228.3819293,57345900,AAPL
7/18/24,223.1364441,229.3673138,221.2353466,229.2080549,66034600,AAPL
7/19/24,223.2658539,225.7442686,222.2406497,223.7734896,49151500,AAPL
7/22/24,222.91748,226.7196906,222.05152,225.9532707,48201800,AAPL
7/23/24,223.9626007,225.8836247,221.6434447,223.3255804,39960300,AAPL
7/24/24,217.522705,223.7535749,216.1192801,222.9572958,61777600,AAPL
7/25/24,216.4776001,219.8219601,213.6209495,217.9108842,51391200,AAPL
7/26/24,216.9454193,218.4682961,215.0044843,217.6819649,41601300,AAPL
7/29/24,217.224121,218.2791845,214.7457063,215.9500806,36311800,AAPL
7/30/24,217.7815094,219.3043862,215.1139767,218.1696934,41643800,AAPL
7/31/24,221.0462341,222.77814,219.6029868,220.4092139,50036300,AAPL
8/1/24,217.3435516,223.4350586,216.0097929,223.3255701,62501000,AAPL
8/2/24,218.8365631,224.5498492,216.6965773,218.1298614,105568600,AAPL
8/5/24,208.2958527,212.5061578,195.0876202,198.1632327,119548600,AAPL
8/6/24,206.2653656,209.0125279,200.1340512,204.3443568,69660500,AAPL
8/7/24,208.8433075,212.6455177,205.429266,205.9368866,63516400,AAPL
8/8/24,212.3170471,213.2029036,207.8579056,212.1179811,47161100,AAPL
8/9/24,215.233429,215.7709086,210.9833011,211.1127009,42201600,AAPL
8/12/24,216.7680206,218.7410807,214.8447885,215.3131433,38028100,AAPL
8/13/24,220.4949493,221.1127728,218.2428558,218.2428558,44155300,AAPL
8/14/24,220.9433441,222.2487529,218.9304157,219.7973785,41960600,AAPL
8/15/24,223.9328461,224.5606442,221.9797049,223.8132713,46414000,AAPL
8/16/24,225.258194,226.0354606,222.8665916,223.1356501,44340200,AAPL
